state_b5,program_type_b5,grad_100,grad_100_rate,state_b1,state_abbrevation_b1,organization_type_b1,level_b1,year_b1,gender_b1,race_b1,state_b2,state_abbrevation_b2,organization_type_b2,level_b2,university_count,counted_pct,awards_per_state_value_b2,state_b3,student count,awards_per_value,awards_per_state_value_b3,fte_value,city,state_b4,level_b4,institution_type,specific_college_type,website,universityid_pub,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate_med,universityid_priv,year,gender_b6,race_b6,program_type_b6,passing_rate_b6
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Both Gender,Asian,United States,US,Public,4-year,632,0,0,Alabama,4051,14.2,18.8,3906,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.aamu.edu/,100654,823,0,10,15,63.1,100760,2011,Both Gender,Unspecified,2y all,242
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Both Gender,American Indian,United States,US,Private not-for-profit,4-year,1180,0,0,Alabama,11502,20.9,18.8,10032,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,www.uab.edu,100663,1146,84,29.4,67,80.2,100760,2011,Male,Unspecified,2y all,272
Alabama,4y bach,2,3.9,Alabama,AL,Private for-profit,4-year,2011,Both Gender,Black,United States,US,Private for-profit,4-year,527,0,0,Alabama,322,29.9,17.8,294,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.amridgeuniversity.edu,100690,0,0,0,0,37.5,100760,2011,Female,Unspecified,2y all,205
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Both Gender,Hispanic,United States,US,Public,2-year,926,0,0,Alabama,5696,20.9,18.8,5000,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,www.uah.edu,100706,1180,89,16.5,34,81,100760,2011,Both Gender,White,2y all,371
Alabama,4y bach,15,22.7,Alabama,AL,Private for-profit,4-year,2011,Both Gender,White,United States,US,Private not-for-profit,2-year,68,0,0,Alabama,5356,11.6,18.8,5035,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.alasu.edu/email/index.aspx,100724,830,1,8.8,11,62.2,100760,2011,Male,White,2y all,325
Alabama,4y bach,39,18.7,Alabama,AL,Private for-profit,4-year,2011,Both Gender,Unspecified,United States,US,Private for-profit,2-year,465,0,0,Alabama,29440,18.3,18.8,27148,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,www.ua.edu/,100751,1171,88,42.7,86,87,100760,2011,Female,White,2y all,308
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Female,Asian,Alabama,AL,Public,4-year,13,61,18.8,Alabama,1906,15.9,15.9,1489,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.cacc.edu,100760,0,0,7.7,39,42.7,100760,2011,Both Gender,Black,2y all,266
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Female,American Indian,Alabama,AL,Private not-for-profit,4-year,16,62,17.8,Alabama,4322,15.4,18.8,3571,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,www.aum.edu,100830,970,26,9.9,15,63.2,100760,2011,Male,Black,2y all,213
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Female,Black,Alabama,AL,Private for-profit,4-year,9,37.8,29.1,Alabama,19799,21.5,18.8,19635,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,www.auburn.edu,100858,1215,93,37.6,80,89.5,100760,2011,Female,Black,2y all,257
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Female,Hispanic,Alabama,AL,Public,2-year,25,49,15.9,Alabama,1188,23.5,17.8,1331,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,www.bsc.edu/,100937,1177,81,53.2,67,80.4,100760,2011,Both Gender,Hispanic,2y all,194
Alabama,4y bach,6,28.6,Alabama,AL,Private for-profit,4-year,2011,Female,White,Alabama,AL,Private not-for-profit,2-year,1,0,17.1,Alabama,1837,13.6,15.9,1431,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.cv.edu,101028,0,0,7.2,37,51.6,100760,2011,Male,Hispanic,2y all,280
Alabama,4y bach,9,13.6,Alabama,AL,Private for-profit,4-year,2011,Female,Unspecified,Alabama,AL,Private for-profit,2-year,5,79.6,3.2,Alabama,600,12.3,17.8,515,Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.ccal.edu/,101073,0,0,9.8,4,41,100760,2011,Female,Hispanic,2y all,54
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Male,Asian,Alaska,AK,Public,4-year,3,51.7,16.3,Alabama,599,15,29.1,577,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,southuniversity.edu,101116,0,0,5.3,10,19.4,100760,2011,Both Gender,American Indian,2y all,334
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Male,American Indian,Alaska,AK,Private not-for-profit,4-year,1,21.8,22.9,Alabama,2333,17.4,15.9,2101,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.escc.edu,101143,0,0,8.3,44,54.1,100760,2011,Male,American Indian,2y all,224
Alabama,4y bach,2,8,Alabama,AL,Private for-profit,4-year,2011,Male,Black,Alaska,AK,Private for-profit,4-year,1,23.2,34.2,Alabama,4362,11.8,15.9,3703,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,www.faulknerstate.edu,101161,0,0,9.5,50,52.1,100760,2011,Female,American Indian,2y all,397
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2011,Male,Hispanic,Alaska,AK,Public,2-year,2,15.6,9.1,Alabama,2617,21.5,17.8,2658,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,www.faulkner.edu,101189,0,0,10.6,5,50,100760,2011,Both Gender,Asian,2y all,275
Alabama,4y bach,9,20,Alabama,AL,Private for-profit,4-year,2011,Male,White,Alaska,AK,Private not-for-profit,2-year,0,0,0,Alabama,5797,14.5,15.9,4650,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,www.gadsdenstate.edu,101240,0,0,7.4,38,55.9,100760,2011,Male,Asian,2y all,273
Alabama,4y bach,30,21,Alabama,AL,Private for-profit,4-year,2011,Male,Unspecified,Alaska,AK,Private for-profit,2-year,0,0,0,Alabama,4686,17.1,15.9,3611,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallace.edu,101286,0,0,2.3,5,56,100760,2011,Female,Asian,2y all,348
Alabama,4y bach,0,0,Alabama,AL,Private for-profit,4-year,2012,Both Gender,Asian,Arizona,AZ,Public,4-year,4,63.9,22,Alabama,5281,18.8,15.9,4486,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,www.wallacestate.edu,101295,0,0,11.9,61,63.7,100760,2012,Both Gender,Unspecified,2y all,99
