state,Organization_type,level,year,gender,race
Alabama,Private for-profit,2-year,2002,Both Gender,American Indian
Alabama,Private for-profit,2-year,2002,Both Gender,Asian
Alabama,Private for-profit,2-year,2002,Both Gender,Black
Alabama,Private for-profit,2-year,2002,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2002,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2002,Both Gender,White
Alabama,Private for-profit,2-year,2002,Female,American Indian
Alabama,Private for-profit,2-year,2002,Female,Asian
Alabama,Private for-profit,2-year,2002,Female,Black
Alabama,Private for-profit,2-year,2002,Female,Hispanic
Alabama,Private for-profit,2-year,2002,Female,Unspecified
Alabama,Private for-profit,2-year,2002,Female,White
Alabama,Private for-profit,2-year,2002,Male,American Indian
Alabama,Private for-profit,2-year,2002,Male,Asian
Alabama,Private for-profit,2-year,2002,Male,Black
Alabama,Private for-profit,2-year,2002,Male,Hispanic
Alabama,Private for-profit,2-year,2002,Male,Unspecified
Alabama,Private for-profit,2-year,2002,Male,White
Alabama,Private for-profit,2-year,2003,Both Gender,American Indian
Alabama,Private for-profit,2-year,2003,Both Gender,Asian
Alabama,Private for-profit,2-year,2003,Both Gender,Black
Alabama,Private for-profit,2-year,2003,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2003,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2003,Both Gender,White
Alabama,Private for-profit,2-year,2003,Female,American Indian
Alabama,Private for-profit,2-year,2003,Female,Asian
Alabama,Private for-profit,2-year,2003,Female,Black
Alabama,Private for-profit,2-year,2003,Female,Hispanic
Alabama,Private for-profit,2-year,2003,Female,Unspecified
Alabama,Private for-profit,2-year,2003,Female,White
Alabama,Private for-profit,2-year,2003,Male,American Indian
Alabama,Private for-profit,2-year,2003,Male,Asian
Alabama,Private for-profit,2-year,2003,Male,Black
Alabama,Private for-profit,2-year,2003,Male,Hispanic
Alabama,Private for-profit,2-year,2003,Male,Unspecified
Alabama,Private for-profit,2-year,2003,Male,White
Alabama,Private for-profit,2-year,2004,Both Gender,American Indian
Alabama,Private for-profit,2-year,2004,Both Gender,Asian
Alabama,Private for-profit,2-year,2004,Both Gender,Black
Alabama,Private for-profit,2-year,2004,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2004,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2004,Both Gender,White
Alabama,Private for-profit,2-year,2004,Female,American Indian
Alabama,Private for-profit,2-year,2004,Female,Asian
Alabama,Private for-profit,2-year,2004,Female,Black
Alabama,Private for-profit,2-year,2004,Female,Hispanic
Alabama,Private for-profit,2-year,2004,Female,Unspecified
Alabama,Private for-profit,2-year,2004,Female,White
Alabama,Private for-profit,2-year,2004,Male,American Indian
Alabama,Private for-profit,2-year,2004,Male,Asian
Alabama,Private for-profit,2-year,2004,Male,Black
Alabama,Private for-profit,2-year,2004,Male,Hispanic
Alabama,Private for-profit,2-year,2004,Male,Unspecified
Alabama,Private for-profit,2-year,2004,Male,White
Alabama,Private for-profit,2-year,2005,Both Gender,American Indian
Alabama,Private for-profit,2-year,2005,Both Gender,Asian
Alabama,Private for-profit,2-year,2005,Both Gender,Black
Alabama,Private for-profit,2-year,2005,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2005,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2005,Both Gender,White
Alabama,Private for-profit,2-year,2005,Female,American Indian
Alabama,Private for-profit,2-year,2005,Female,Asian
Alabama,Private for-profit,2-year,2005,Female,Black
Alabama,Private for-profit,2-year,2005,Female,Hispanic
Alabama,Private for-profit,2-year,2005,Female,Unspecified
Alabama,Private for-profit,2-year,2005,Female,White
Alabama,Private for-profit,2-year,2005,Male,American Indian
Alabama,Private for-profit,2-year,2005,Male,Asian
Alabama,Private for-profit,2-year,2005,Male,Black
Alabama,Private for-profit,2-year,2005,Male,Hispanic
Alabama,Private for-profit,2-year,2005,Male,Unspecified
Alabama,Private for-profit,2-year,2005,Male,White
Alabama,Private for-profit,2-year,2006,Both Gender,American Indian
Alabama,Private for-profit,2-year,2006,Both Gender,Asian
Alabama,Private for-profit,2-year,2006,Both Gender,Black
Alabama,Private for-profit,2-year,2006,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2006,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2006,Both Gender,White
Alabama,Private for-profit,2-year,2006,Female,American Indian
Alabama,Private for-profit,2-year,2006,Female,Asian
Alabama,Private for-profit,2-year,2006,Female,Black
Alabama,Private for-profit,2-year,2006,Female,Hispanic
Alabama,Private for-profit,2-year,2006,Female,Unspecified
Alabama,Private for-profit,2-year,2006,Female,White
Alabama,Private for-profit,2-year,2006,Male,American Indian
Alabama,Private for-profit,2-year,2006,Male,Asian
Alabama,Private for-profit,2-year,2006,Male,Black
