state,program_type,grad_100,grad_100_rate
Alabama,4y bach,38.51,42.33
Alabama,4y bach,54.71,36.17
Alabama,4y bach,46.19,34.98
Alabama,4y bach,52.72,38.75
Alabama,4y bach,24.57,33.59
Alabama,4y bach,60.22,40.73
Alabama,4y bach,56.41,37.3
Alabama,4y bach,50.9,34.42
Alabama,4y bach,42.88,39.99
Alabama,4y bach,23.75,36.48
Alabama,4y bach,42.06,34.65
Alabama,4y bach,62.78,42.86
Alabama,4y bach,59.57,37
Alabama,4y bach,40.99,39.76
Alabama,4y bach,53.11,40.82
Alabama,4y bach,48.57,40.6
Alabama,4y bach,34.89,34.23
Alabama,4y bach,62.06,34.98
Alabama,4y bach,39.97,35.58
Alabama,4y bach,47.54,36.22
Alabama,4y bach,41.78,40.27
Alabama,4y bach,46.68,35.56
Alabama,4y bach,36.21,35.98
Alabama,4y bach,29.17,37.01
Alabama,4y bach,48.16,35.15
Alabama,4y bach,60.52,35.53
Alabama,4y bach,41.48,42.79
Alabama,4y bach,59.26,37.23
Alabama,4y bach,64.3,34.89
Alabama,4y bach,65.78,33.15
Alabama,4y bach,56.77,37.77
Alabama,4y bach,65.97,40.57
Alabama,4y bach,26.51,35.48
Alabama,4y bach,29.14,33.78
Alabama,4y bach,60,42.73
Alabama,4y bach,29.32,38.02
Alabama,4y bach,61.76,33.57
Alabama,4y bach,33.23,36.96
Alabama,4y bach,30.38,38.18
Alabama,4y bach,50.18,35.64
Alabama,4y bach,31.15,37.5
Alabama,4y bach,49.7,39.68
Alabama,4y bach,59.58,34.86
Alabama,4y bach,62.42,40.56
Alabama,4y bach,42.12,36.8
Alabama,4y bach,48.31,33.3
Alabama,4y bach,47.99,40.45
Alabama,4y bach,45.13,35.2
Alabama,4y bach,29.95,34.07
Alabama,4y bach,60.47,37.42
Alabama,4y bach,56.3,39.41
Alabama,4y bach,61.25,41.27
Alabama,4y bach,39.19,33.17
Alabama,4y bach,60.3,36.48
Alabama,4y bach,41.21,37.33
Alabama,4y bach,26.68,38
Alabama,4y bach,30.19,42.03
Alabama,4y bach,67.15,38.19
Alabama,4y bach,26.29,36.31
Alabama,4y bach,51.64,36.37
Alabama,4y bach,50.99,34.2
Alabama,4y bach,44.45,37.36
Alabama,4y bach,66.8,42.77
Alabama,4y bach,29.6,38.69
Alabama,4y bach,55.17,40.75
Alabama,4y bach,53.88,33.97
Alabama,4y bach,32.96,35.31
Alabama,4y bach,47.99,41.49
Alabama,4y bach,55.23,37.94
Alabama,4y bach,65.59,34.39
Alabama,4y bach,58.28,40.69
Alabama,4y bach,45.28,34.15
Alabama,4y bach,27.89,35.21
Alabama,4y bach,56.16,39.8
Alabama,4y bach,47.82,38.93
Alabama,4y bach,39.12,33.95
Alabama,4y bach,33,34.78
Alabama,4y bach,30.95,39.29
Alabama,4y bach,63.21,36.98
Alabama,4y bach,57.69,34.06
Alabama,4y bach,25.08,41.59
Alabama,4y bach,60.49,39.29
Alabama,4y bach,42.15,33.22
Alabama,4y bach,57.43,40.69
Alabama,4y bach,60.29,42.31
Alabama,4y bach,32.62,33.42
Alabama,4y bach,44.33,40.29
Alabama,4y bach,62.38,41.52
Alabama,4y bach,29.36,36.41
Alabama,4y bach,28.91,40.51
Alabama,4y bach,53.19,39.41
Alabama,4y bach,62.81,42.36
Alabama,4y bach,66.53,37.95
Alabama,4y bach,41.69,41.52
