universityid,state
100654,Alabama
100663,Alabama
100690,Alabama
100706,Alabama
100724,Alabama
100751,Alabama
100760,Alabama
100830,Alabama
100858,Alabama
100937,Alabama
101028,Alabama
101073,Alabama
101116,Alabama
101143,Alabama
101161,Alabama
101189,Alabama
101240,Alabama
101286,Alabama
101295,Alabama
101301,Alabama
101365,Alabama
101435,Alabama
101462,Alabama
101480,Alabama
101499,Alabama
101505,Alabama
101514,Alabama
101541,Alabama
101569,Alabama
101587,Alabama
101602,Alabama
101648,Alabama
101675,Alabama
101693,Alabama
101709,Alabama
101736,Alabama
101879,Alabama
101897,Alabama
101912,Alabama
101949,Alabama
101958,Alabama
101994,Alabama
102030,Alabama
102049,Alabama
102058,Alabama
102067,Alabama
102076,Alabama
102094,Alabama
102234,Alabama
102261,Alabama
102270,Alabama
102298,Alabama
102313,Alabama
102368,Alabama
102377,Alabama
102429,Alabama
102553,Alaska
102614,Alaska
102632,Alaska
102669,Alaska
102845,Alaska
103361,Alaska
103644,Arizona
103893,Arizona
103909,Arizona
103927,Arizona
103945,Arizona
104090,Arizona
104151,Arizona
104160,Arizona
104179,Arizona
104188,Arizona
104346,Arizona
104364,Arizona
104425,Arizona
104577,Arizona
104586,Arizona
104708,Arizona
104717,Arizona
104805,Arizona
105118,Arizona
105145,Arizona
105154,Arizona
105163,Arizona
105172,Arizona
105206,Arizona
105297,Arizona
105330,Arizona
105349,Arizona
105428,Arizona
105516,Arizona
105525,Arizona
105534,Arizona
105543,New Mexico
105589,Arizona
105659,Arizona
105668,Arizona
105747,Arizona
105792,Arizona
105899,Arizona
106041,Arizona
106102,Arizona
106148,Arizona
106245,Arkansas
106306,Arkansas
106342,Arkansas
106397,Arkansas
106412,Arkansas
106449,Arkansas
106458,Arkansas
106467,Arkansas
106485,Arkansas
106625,Arkansas
106704,Arkansas
106713,Arkansas
106795,Arkansas
106810,Arkansas
106883,Arkansas
106980,Arkansas
106999,Arkansas
107044,Arkansas
107071,Arkansas
107080,Arkansas
107141,Arkansas
107318,Arkansas
107327,Arkansas
107460,Arkansas
107512,Arkansas
107521,Arkansas
107549,Arkansas
107558,Arkansas
107585,Arkansas
107600,Arkansas
107619,Arkansas
107637,Arkansas
107664,Arkansas
107725,Arkansas
107743,Arkansas
107877,Arkansas
107974,Arkansas
