universityid,level,institution_type,specific_college_type
100654,4-year,Public,Masters Colleges and Universities--larger programs
100663,4-year,Public,Research Universities--very high research activity
100690,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
100706,4-year,Public,Research Universities--very high research activity
100724,4-year,Public,Masters Colleges and Universities--larger programs
100751,4-year,Public,Research Universities--high research activity
100760,2-year,Public,Associates--Public Rural-serving Medium
100830,4-year,Public,Masters Colleges and Universities--larger programs
100858,4-year,Public,Research Universities--high research activity
100937,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
101028,2-year,Public,Associates--Public Rural-serving Medium
101073,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101116,4-year,Private for-profit,Baccalaureate/Associates Colleges
101143,2-year,Public,Associates--Public Rural-serving Medium
101161,2-year,Public,Associates--Public Suburban-serving Multicampus
101189,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101240,2-year,Public,Associates--Public Rural-serving Large
101286,2-year,Public,Associates--Public Rural-serving Medium
101295,2-year,Public,Associates--Public Rural-serving Medium
101301,2-year,Public,Associates--Public Rural-serving Medium
101365,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields
101435,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101462,2-year,Public,Associates--Public Rural-serving Small
101480,4-year,Public,Masters Colleges and Universities--larger programs
101499,2-year,Public,Associates--Public Rural-serving Small
101505,2-year,Public,Associates--Public Urban-serving Multicampus
101514,2-year,Public,Associates--Public Rural-serving Large
101541,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
101569,2-year,Public,Associates--Public Urban-serving Multicampus
101587,4-year,Public,Masters Colleges and Universities--larger programs
101602,2-year,Public,Associates--Public Rural-serving Small
101648,2-year,Public,Associates--Public Rural-serving Small
101675,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101693,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101709,4-year,Public,Masters Colleges and Universities--medium programs
101736,2-year,Public,Associates--Public Rural-serving Medium
101879,4-year,Public,Masters Colleges and Universities--larger programs
101897,2-year,Public,Associates--Public Rural-serving Medium
101912,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
101949,2-year,Public,Associates--Public Rural-serving Small
101958,2-year,Private for-profit,Associates--Private For-profit
101994,2-year,Public,Associates--Public Rural-serving Small
102030,2-year,Public,Associates--Public Urban-serving Multicampus
102049,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs
102058,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
102067,2-year,Public,Associates--Public Rural-serving Large
102076,2-year,Public,Associates--Public Rural-serving Medium
102094,4-year,Public,Research Universities--high research activity
102234,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs
102261,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions
102270,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
102298,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences
102313,2-year,Public,Associates--Public Rural-serving Small
102368,4-year,Public,Masters Colleges and Universities--larger programs
102377,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields
102429,2-year,Public,Associates--Public Rural-serving Medium
