universityid,med_sat_value,med_sat_percentile,grad_100_value,grad_100_percentile,passing_rate
100654,823,0,10.0,15,63.1
100663,1146,84,29.4,67,80.2
100690,1024,54,0.0,0,37.5
100706,1180,89,16.5,34,81.0
100724,830,1,8.8,11,62.2
100751,1171,88,42.7,86,87.0
100760,1075,42,7.7,39,42.7
100830,970,26,9.9,15,63.2
100858,1215,93,37.6,80,89.5
100937,1177,81,53.2,67,80.4
101028,1200,31,7.2,37,51.6
101073,842,54,9.8,4,41.0
101116,908,4,5.3,10,19.4
101143,1088,80,8.3,44,54.1
101161,1143,97,9.5,50,52.1
101189,926,76,10.6,5,50.0
101240,819,70,7.4,38,55.9
101286,882,90,2.3,5,56.0
101295,841,96,11.9,61,63.7
101301,877,68,10.6,55,53.1
101365,1159,32,0.0,0,50.0
101435,999,28,30.4,30,62.0
101462,1120,81,15.4,72,42.3
101480,1036,57,10.1,16,71.1
101499,986,44,13.6,68,51.8
101505,913,72,1.8,3,52.4
101514,1198,52,6.2,32,57.5
101541,1023,37,38.0,42,59.7
101569,1109,20,18.4,81,52.5
101587,950,19,17.9,38,57.8
101602,879,19,13.2,66,57.0
101648,1040,100,23.1,88,38.1
101675,1017,26,6.0,2,54.8
101693,1058,51,32.9,34,77.3
101709,1070,65,23.8,55,73.7
101736,833,49,2.2,5,52.6
101879,1028,50,12.3,20,70.8
101897,802,22,9.5,50,61.4
101912,924,9,18.8,12,78.8
101949,1094,26,17.1,77,56.7
101958,930,96,15.8,17,83.3
101994,901,40,19.0,82,48.8
102030,1112,46,7.2,37,41.2
102049,1153,77,48.9,60,86.7
102058,1161,12,2.0,0,42.0
102067,1144,39,4.3,18,58.5
102076,928,15,7.0,36,59.4
102094,1064,64,14.1,26,67.9
102234,1100,65,47.1,58,75.6
102261,970,20,8.0,3,64.3
102270,882,5,16.9,10,61.2
102298,915,55,82.4,94,32.9
102313,1036,98,19.8,84,49.8
102368,1161,61,13.3,23,73.9
102377,937,12,16.7,9,72.4
