university_id,state,student count,awards_per_value,awards_per_state_value,fte_value
100654,Alabama,4051,14.2,18.8,3906
100663,Alabama,11502,20.9,18.8,10032
100690,Alabama,322,29.9,17.8,294
100706,Alabama,5696,20.9,18.8,5000
100724,Alabama,5356,11.6,18.8,5035
100751,Alabama,29440,18.3,18.8,27148
100760,Alabama,1906,15.9,15.9,1489
100830,Alabama,4322,15.4,18.8,3571
100858,Alabama,19799,21.5,18.8,19635
100937,Alabama,1188,23.5,17.8,1331
101028,Alabama,1837,13.6,15.9,1431
101073,Alabama,600,12.3,17.8,515
101116,Alabama,599,15,29.1,577
101143,Alabama,2333,17.4,15.9,2101
101161,Alabama,4362,11.8,15.9,3703
101189,Alabama,2617,21.5,17.8,2658
101240,Alabama,5797,14.5,15.9,4650
101286,Alabama,4686,17.1,15.9,3611
101295,Alabama,5281,18.8,15.9,4486
101301,Alabama,1745,23.8,15.9,1574
101365,Alabama,320,50,29.1,338
101435,Alabama,1110,22.2,17.8,1078
101462,Alabama,1383,19.3,15.9,921
101480,Alabama,7588,18.1,18.8,6856
101499,Alabama,1091,20.1,15.9,935
101505,Alabama,8542,15.8,15.9,6041
101514,Alabama,11186,12.8,15.9,7911
101541,Alabama,347,14.5,17.8,343
101569,Alabama,3028,13.5,15.9,2695
101587,Alabama,1999,15.3,18.8,1744
101602,Alabama,1570,20.9,15.9,1338
101648,Alabama,418,26.1,15.9,422
101675,Alabama,1666,12,17.8,1681
101693,Alabama,1481,21.7,17.8,1341
101709,Alabama,2618,15.9,18.8,2455
101736,Alabama,3854,16.3,15.9,2702
101879,Alabama,5881,17.4,18.8,5292
101897,Alabama,2834,23.7,15.9,2409
101912,Alabama,1861,16.9,17.8,1777
101949,Alabama,1349,19.5,15.9,1124
101958,Alabama,102,9,3.2,133
101994,Alabama,517,25,15.9,673
102030,Alabama,3896,11.3,15.9,2822
102049,Alabama,3013,19.9,17.8,3100
102058,Alabama,582,5.2,17.8,433
102067,Alabama,5068,10.7,15.9,4106
102076,Alabama,2295,20.7,15.9,2023
102094,Alabama,11307,17.3,18.8,10289
102234,Alabama,1292,18.5,17.8,1225
102261,Alabama,161,18.7,17.8,149
102270,Alabama,863,11.8,17.8,940
102298,Alabama,932,13.1,17.8,542
102313,Alabama,1351,17.7,15.9,1275
102368,Alabama,16316,21.4,18.8,13261
102377,Alabama,2584,13.9,17.8,2606
102429,Alabama,3490,16.6,15.9,2970
102553,Alaska,16380,16.1,16.3,11469
102614,Alaska,7989,16.6,16.3,5545
102632,Alaska,2645,16.2,16.3,1544
102669,Alaska,387,22.9,22.9,342
102845,Alaska,2191,34.2,34.2,2983
